Stock,Model,RMSE_Basic,RMSE_WithIndicators,RMSE_Diff,Improved_%,Improved
A,Linear,0.6887564166399619,0.6890684836845418,-0.0003120670445798668,-0.0453087676630671,False
A,Ridge,0.6959236377461462,0.6936884372932616,0.0022352004528846114,0.3211847294228496,True
A,Lasso,1.7479272917216226,1.7479272917216226,0.0,0.0,False
A,RandomForest,4.122910300294372,4.7229004227402065,-0.5999901224458348,-14.552587341106987,False
A,GradientBoosting,4.201604926436492,5.8073458370117566,-1.605740910575265,-38.21732263478523,False
AAL,Linear,0.9230621844561804,0.9370462793395349,-0.013984094883354503,-1.5149678016105919,False
AAL,Ridge,0.942763826415292,0.9594267220118735,-0.016662895596581517,-1.7674517339023816,False
AAL,Lasso,1.3583734840604542,1.3583734840604542,0.0,0.0,False
AAL,RandomForest,1.2446449428144577,1.4063369924806226,-0.1616920496661649,-12.991018089105653,False
AAL,GradientBoosting,1.3151874751095618,1.802712528183122,-0.4875250530735602,-37.06886373997341,False
AAP,Linear,2.834815088832217,2.9973751358850067,-0.1625600470527897,-5.734414484147367,False
AAP,Ridge,2.8733751247034602,3.078320099032087,-0.2049449743286269,-7.132551979260897,False
AAP,Lasso,3.051513692192365,3.051513692192365,0.0,0.0,False
AAP,RandomForest,3.88654458980833,5.1615267762768005,-1.2749821864684705,-32.80503174495543,False
AAP,GradientBoosting,3.523519560400055,6.8323859472393815,-3.3088663868393264,-93.90798972785161,False
AAPL,Linear,1.7101955878667257,1.7087471792936226,0.0014484085731030216,0.08469256869676213,True
AAPL,Ridge,1.7719480493839277,1.745231837611421,0.026716211772506604,1.5077310975226006,True
AAPL,Lasso,3.008755746393184,3.008755746393184,0.0,0.0,False
AAPL,RandomForest,21.651243939655508,22.416009391208416,-0.7647654515529076,-3.5322009843147875,False
AAPL,GradientBoosting,21.973742471882407,23.66247804335614,-1.6887355714737318,-7.685243301793662,False
ABBV,Linear,1.400803865640325,1.6026012381346129,-0.20179737249428786,-14.405826357571033,False
ABBV,Ridge,1.4185421535389413,1.6353502956513033,-0.216808142112362,-15.283870244636354,False
ABBV,Lasso,3.5624856226043606,3.5624856226043606,0.0,0.0,False
ABBV,RandomForest,12.96348676673297,13.36118134431866,-0.39769457758568905,-3.0678056354888783,False
ABBV,GradientBoosting,12.93485878705022,13.61584252560222,-0.6809837385519995,-5.264717224696483,False
ABC,Linear,1.5561443327077178,1.5516986929198213,0.0044456397878964715,0.28568299832194755,True
ABC,Ridge,1.6230079569034672,1.6205737410035013,0.0024342158999659524,0.14998176007776245,True
ABC,Lasso,1.6259926108625045,1.6259926108625045,0.0,0.0,False
ABC,RandomForest,2.75313023351849,3.245332521770119,-0.49220228825162904,-17.877915191196617,False
ABC,GradientBoosting,2.451709105719196,2.960628066852449,-0.508918961133253,-20.75772202934182,False
ABT,Linear,0.5648509268209472,0.5879147896045464,-0.023063862783599176,-4.083176938985571,False
ABT,Ridge,0.5726390829516007,0.5986609052571826,-0.02602182230558192,-4.544192508037611,False
ABT,Lasso,1.8934517802941628,1.8934517802941628,0.0,0.0,False
ABT,RandomForest,2.8582337240586337,3.022852151231534,-0.1646184271729001,-5.759445974877985,False
ABT,GradientBoosting,2.8354359874482737,3.6810758187276837,-0.84563983127941,-29.823978923270854,False
ACN,Linear,1.3087675561868588,1.3062689168043342,0.0024986393825245923,0.1909154433660067,True
ACN,Ridge,1.3140538832650457,1.3093415022025774,0.004712381062468296,0.3586139900716541,True
ACN,Lasso,3.96684577003879,3.96684577003879,0.0,0.0,False
ACN,RandomForest,17.41010706775601,17.605613371328015,-0.1955063035720066,-1.1229471640303097,False
ACN,GradientBoosting,16.99739312234157,20.63836311625867,-3.6409699939171,-21.420755334130423,False
ADBE,Linear,2.0400900849661863,2.1119661495329525,-0.0718760645667662,-3.523180917177857,False
ADBE,Ridge,2.082695465472318,2.162151476726318,-0.07945601125399993,-3.8150566211551586,False
ADBE,Lasso,5.949472907519046,6.010289766603523,-0.060816859084477315,-1.0222226410614614,False
ADBE,RandomForest,47.466609155163134,47.25742169008624,0.20918746507689434,0.4407044632008229,True
ADBE,GradientBoosting,47.7090387102207,50.871170286016635,-3.1621315757959323,-6.627950722298895,False
ADI,Linear,1.1353668625515356,1.1394306973620385,-0.004063834810502875,-0.3579314267962804,False
ADI,Ridge,1.1446298914408843,1.144182343577435,0.00044754786344936015,0.03909978821940229,True
ADI,Lasso,4.7340550806841994,4.7340550806841994,0.0,0.0,False
ADI,RandomForest,12.506734899588686,13.053798746120203,-0.5470638465315165,-4.37415401320698,False
ADI,GradientBoosting,12.316076371231489,13.179119687018861,-0.8630433157873725,-7.007453427321322,False
ADM,Linear,0.6087447192190195,0.6122287697701784,-0.003484050551158857,-0.5723335975100812,False
ADM,Ridge,0.6136225398669735,0.6184719769209431,-0.004849437053969674,-0.7902964345183568,False
ADM,Lasso,0.7207354709135175,0.7207354709135175,0.0,0.0,False
ADM,RandomForest,0.6536123358512449,0.7114664875194378,-0.057854151668192855,-8.85144733274432,False
ADM,GradientBoosting,0.6536015369847903,0.682325740294023,-0.028724203309232754,-4.394757613598021,False
ADP,Linear,1.3543651065639934,1.3418788813207985,0.012486225243194982,0.9219246112204095,True
ADP,Ridge,1.3577428806421519,1.3483411246145136,0.009401756027638264,0.6924548205468515,True
ADP,Lasso,5.043564624726728,5.043564624726728,0.0,0.0,False
ADP,RandomForest,15.335572601578724,16.163738546472935,-0.8281659448942111,-5.400293594573412,False
ADP,GradientBoosting,14.831619910797832,16.978562398832253,-2.146942488034421,-14.475441664139378,False
