ModelVersion,Avg_RMSE,Median_RMSE,Std_RMSE,Num_Stocks
GradientBoosting_v1,12.167203523106558,6.369406561546437,16.019617659325206,150
GradientBoosting_v2,12.438563503808897,6.663369228535752,16.203556873298446,150
GradientBoosting_v3,12.481883713310172,6.964455084259933,16.17063986918009,150
Lasso_v1,1.496969976443547,1.134564536145656,1.4626383251091954,150
Lasso_v2,1.4708002289653046,1.1038135158074671,1.4475806657234842,150
Lasso_v3,1.4610575943879907,1.0923904973537915,1.4444422528421677,150
Linear_v1,1.4491104606415368,1.088317129762642,1.4474950953799084,150
Linear_v2,88.95277917200552,32.071592732537056,158.51372528685073,150
Linear_v3,97136.4079805217,1653.5437901210857,527565.5266162414,150
RandomForest_v1,11.660250329237485,5.9730698484182865,15.750616496866046,150
RandomForest_v2,11.67568247922424,6.015369365812504,15.750875987655746,150
RandomForest_v3,11.737725869434605,5.976712584849417,15.76736850373829,150
Ridge_v1,1.4749925006894367,1.1066003861664182,1.501365939979554,150
Ridge_v2,1.4500830746910713,1.0890077555331295,1.452445624240232,150
Ridge_v3,1.4490769500620773,1.0883062572881284,1.447872173649859,150
